Date,Open,High,Low,Close,Adj Close,Volume
2023-01-02,1964.7611198068057,2004.1041431090957,1976.0063461728291,1980.745048813121,1979.6966997744712,76888862
2023-01-03,1999.6341907923154,2030.9992689166345,2004.0330286687622,2008.8682524414608,2006.2086356468635,89134992
2023-01-04,2029.1551901315188,2052.0700764268695,2038.1496638540893,2040.3070420506428,2036.9815875166667,80940583
2023-01-05,2048.9659908444146,2058.650466217701,2052.1422340516647,2057.8727936002315,2054.670639639028,38460315
2023-01-06,2081.656173777492,2108.7794862678356,2061.821166334339,2082.57042099781,2079.4013680446633,24003654
2023-01-09,2097.121346290812,2100.9628610596187,2072.8218609175283,2100.60309128952,2099.814430758117,48130188
2023-01-10,2070.6166145647367,2101.83756291673,2054.484063967092,2079.883360975145,2079.515700213957,68814599
2023-01-11,2090.7062690955036,2125.5805139152385,2073.5576313246866,2095.0888905418933,2092.160170690651,48390663
2023-01-12,2121.696858040003,2136.693526682338,2119.241490287399,2122.7577917651247,2121.1939679288107,47620830
2023-01-13,2131.0938039115726,2156.8009029960285,2139.9028030963764,2149.225739643793,2147.367320367345,76734894
2023-01-16,2169.4716941640622,2214.134582841431,2180.7876610713847,2190.9693214625304,2190.832828049127,37635109
2023-01-17,2199.0942561366846,2243.845282150082,2208.3645589916296,2216.675661182978,2215.524867588329,78503163
2023-01-18,2210.9874435068723,2248.3053944727476,2212.799929951996,2230.027078452632,2229.876879867542,41357993
2023-01-19,2263.611804289381,2302.017046040309,2250.874115823993,2269.1025134353436,2265.1125881425714,34915114
2023-01-20,2247.2502028553395,2270.8058647318967,2256.9004158590583,2269.0472831443735,2267.9427259788067,45227172
2023-01-23,2233.531581087932,2254.884181308693,2226.062281030157,2237.938657554557,2235.444084760398,70520650
2023-01-24,2211.7495121605825,2257.0594511287177,2205.242484961268,2232.994891219502,2232.820809971703,18332166
2023-01-25,2185.3158780785498,2235.8355300933968,2181.1414814564705,2207.2742683710508,2204.3304381955318,24106375
2023-01-26,2168.766071021956,2190.185573574434,2174.2274865442228,2184.3123199517736,2182.9011347297496,86018475
2023-01-27,2158.7450018028658,2206.296999281258,2150.2525261420546,2180.135262273243,2176.2200917089267,22390313
2023-01-30,2141.101718642544,2171.218703908608,2122.5896027302606,2153.3659945813556,2149.5411075669163,54553640
2023-01-31,2138.053297338437,2156.3677663011845,2133.1107163883507,2143.6168788101645,2142.222281890087,55503786
2023-02-01,2070.439926695574,2083.635950884931,2068.4718300139148,2079.5273757689747,2075.7802300748035,48149205
2023-02-02,2075.065665086036,2114.5499905810275,2071.623652753939,2087.4559883762627,2083.297117774439,60869110
2023-02-03,2086.8050477146044,2093.2578110906975,2058.850653000052,2088.3312327998324,2084.8837501769676,26845791
2023-02-06,2049.0330603944394,2071.4460488379864,2034.7621532565918,2061.864937961346,2058.380916743297,53318305
2023-02-07,2063.9860478207265,2093.506821734743,2081.2311438803863,2084.4380924044294,2083.400005814655,38518206
2023-02-08,2112.5170722579783,2144.206528258861,2104.0723186933747,2116.540778188106,2114.0995498999832,62256715
